Mightybear,Matt Demon,Jungler,Team Vitality,147.57,18.45,16,31,44,84,"2,561",2,0 / 0 / 0
Memento,,Jungler,ROCCAT,101.85,16.98,12,25,41,75,"1,772",2,0 / 0 / 0
FORG1VENGRE,21Virtuoso,AD Carry,H2K,91.34,22.84,8,23,6,40,"2,887",1,1 / 0 / 0
Slooshi,,Mid,Phoenix1,83.71,13.95,10,21,37,30,"2,907",1,0 / 0 / 0
Zentinel,,Jungler,Phoenix1,79.11,13.18,14,16,38,55,"1,704",1,0 / 0 / 0
Piglet,,AD Carry,Liquid,59.52,14.88,9,22,21,27,"2,787",0,1 / 0 / 0
Toaster,,AD Carry,Origen,54.20,18.07,6,20,16,31,"2,017",1,0 / 0 / 0
Reje,,AD Carry,Team Vitality,39.90,19.95,4,15,13,20,"1,452",0,0 / 0 / 0
kez,,Jungler,Echo Fox,32.47,10.82,7,6,27,30,742,0,0 / 0 / 0
Moon,,Jungler,Liquid,17.95,8.98,3,3,10,13,472,0,0 / 0 / 0
Grigne,,Jungler,Echo Fox,8.06,4.03,2,0,3,5,206,0,0 / 0 / 0
Werlyb,,Top,Fnatic,6.65,3.33,2,0,5,3,465,0,0 / 0 / 0
AlexIch,,Mid,Team Envy,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Allorim,,Top,Echo Fox,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Altec,,AD Carry,Cloud9 ,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Arcsecond,,Mid,Liquid,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
AudreyLaSapa,,Support,Unicorns of Love,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Balls,,Top,Cloud9 ,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Cris,,Top,Apex,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Cyanide,,Jungler,Origen,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Damonte,,Mid,Echo Fox,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Dexter,,Jungler,FC Schalke 04,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Diamondprox,,Jungler,Apex,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Dodo,,Support,Immortals,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Eika,,Mid,FC Schalke 04,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
extinkt,,Support,ROCCAT,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
fredy122,,Top,ROCCAT,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Goldenglue,,Mid,Liquid,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Gripex,,Jungler,Splyce,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Hai,,Support,Cloud9 ,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Hjarnan,,AD Carry,Team Vitality,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Hulberto,,Jungler,H2K,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Impactful,,AD Carry,Immortals,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Jummychu,,AD Carry,Immortals,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Jynthe,,AD Carry,Cloud9 ,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Klaj,,Support,Fnatic,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Knugen,,AD Carry,H2K,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
KonKwon,,Support,Apex,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Leonyx,,AD Carry,NRG Esports,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Mancloud,,Mid,NRG Esports,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Nien,,AD Carry,Team Envy,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
OddOne,,Jungler,TSM,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Otter,,AD Carry,NRG Esports,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Qwerm,,Support,NRG Esports,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Reginald,,Mid,TSM,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Relinquished,,AD Carry,G2 Esports,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Roar,,AD Carry,Apex,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Rush,,Jungler,Cloud9 ,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Samux,,AD Carry,Giants,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Selfie,,Mid,Echo Fox,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Shiphtur,,Mid,Apex,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Sola,,AD Carry,FC Schalke 04,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Solo,,Top,Liquid,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Special,,Mid,Giants,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Stunt,,Support,Liquid,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Thinkcard,,Jungler,Cloud9 ,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
TIFA,,Mid,Splyce,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Uby,,Support,Unicorns of Love,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Unlimited,,Support,G2 Esports,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Valkrin,,Support,TSM,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Vizility,,AD Carry,Splyce,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
vvian,,Top,Liquid,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
YoonA,,AD Carry,Counter Logic Gaming,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Zeyzal,,Support,Cloud9 ,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Zhergoth,,Top,Origen,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
