Split,Week,Team,Opponent,Result,Points
2.0,4.0,G2 ,SPY,1.0,21.0
2.0,4.0,NRG,TIP,1.0,17.0
2.0,4.0,VIT, EL,1.0,19.0
2.0,4.0,NRG, C9,0.0,3.0
2.0,4.0,SPY,H2K,0.0,2.0
2.0,4.0,VIT,UOL,0.0,11.0
2.0,4.0,SPY, G2,0.0,2.0
2.0,4.0,FOX,TSM,0.0,7.0
2.0,4.0,IMT,CLG,1.0,19.0
2.0,4.0,FOX,DIG,0.0,14.0
2.0,4.0,IMT, TL,1.0,18.0
2.0,5.0,FOX,REN,1.0,20.0
2.0,5.0,IMT,DIG,1.0,18.0
2.0,5.0,FOX,NRG,1.0,19.0
2.0,5.0,IMT, C9,1.0,21.0
2.0,5.0,REN,FOX,0.0,4.0
2.0,5.0,G2 ,VIT,0.0,5.0
2.0,5.0,REN, TL,0.0,1.0
2.0,5.0,G2 ,H2K,1.0,15.0
2.0,5.0,NRG,CLG,0.0,9.0
2.0,5.0,VIT, G2,1.0,17.0
2.0,5.0,NRG,FOX,0.0,5.0
2.0,5.0,SPY, OG,0.0,4.0
2.0,5.0,VIT, OG,1.0,20.0
2.0,5.0,SPY,GIA,1.0,12.0
2.0,6.0,VIT,H2K,1.0,23.0
2.0,6.0,NRG, C9,0.0,6.0
2.0,6.0,SPY,ROC,0.0,7.0
2.0,6.0,VIT,UOL,1.0,17.0
2.0,6.0,SPY,FNC,1.0,17.0
2.0,6.0,FOX, TL,1.0,20.0
2.0,6.0,IMT,REN,1.0,16.0
2.0,6.0,FOX,TIP,1.0,18.0
2.0,6.0,IMT, TL,1.0,19.0
2.0,6.0,REN,IMT,0.0,7.0
2.0,6.0,G2 ,FNC,0.0,10.0
2.0,6.0,REN,CLG,0.0,5.0
2.0,6.0,G2 ,ROC,1.0,19.0
2.0,6.0,NRG,DIG,1.0,18.0
2.0,7.0,G2 , EL,1.0,11.0
2.0,7.0,REN,DIG,1.0,15.0
2.0,7.0,G2 , OG,1.0,20.0
2.0,7.0,NRG,REN,1.0,20.0
2.0,7.0,VIT,GIA,1.0,18.0
2.0,7.0,NRG,TIP,0.0,4.0
2.0,7.0,SPY, OG,0.0,6.0
2.0,7.0,VIT, EL,1.0,19.0
2.0,7.0,SPY,UOL,0.0,6.0
2.0,7.0,FOX,TSM,0.0,4.0
2.0,7.0,IMT,CLG,0.0,8.0
2.0,7.0,FOX,IMT,0.0,4.0
2.0,7.0,IMT,FOX,1.0,20.0
2.0,7.0,REN,NRG,0.0,7.0
2.0,8.0,REN, C9,0.0,14.0
2.0,8.0,G2 ,VIT,1.0,20.0
2.0,8.0,REN,TSM,1.0,18.0
2.0,8.0,G2 ,GIA,1.0,17.0
2.0,8.0,NRG,IMT,0.0,6.0
2.0,8.0,VIT, G2,0.0,8.0
2.0,8.0,NRG, TL,1.0,21.0
2.0,8.0,SPY, EL,1.0,16.0
2.0,8.0,VIT,FNC,1.0,18.0
2.0,8.0,SPY,H2K,0.0,3.0
2.0,8.0,FOX,DIG,1.0,12.0
2.0,8.0,IMT,NRG,1.0,19.0
2.0,8.0,FOX,CLG,0.0,7.0
2.0,8.0,IMT,DIG,1.0,17.0
2.0,9.0,FOX, C9,0.0,2.0
2.0,9.0,IMT,TSM,1.0,17.0
2.0,9.0,FOX,REN,0.0,9.0
2.0,9.0,IMT,TIP,1.0,18.0
2.0,9.0,REN,TIP,1.0,20.0
2.0,9.0,G2 ,SPY,1.0,21.0
