1,Week 1,,,TL vs. TDK,Win (1-0),25.5,25.5,1,4,0,9,400,0,0 / 0 / 0
1,Week 1,,,TL vs. T8,Win (1-0),36.55,36.55,1,8,0,10,355,1,0 / 0 / 0
1,Week 2,,,TL vs. NME,Win (1-0),14.79,14.79,1,2,0,5,329,0,0 / 0 / 0
1,Week 2,,,TL vs. GV,Loss (0-0),5.82,5.82,1,0,0,2,282,0,0 / 0 / 0
1,Week 3,,,TL vs. C9,Win (1-0),33.14,33.14,1,9,0,7,264,0,1 / 0 / 0
1,Week 3,,,TL vs. TIP,Win (1-0),13.57,13.57,1,3,0,3,307,0,0 / 0 / 0
1,Week 4,,,TL vs. TSM,Loss (0-0),13.91,13.91,1,1,0,6,291,0,0 / 0 / 0
1,Week 4,,,TL vs. DIG,Loss (0-0),25.8,25.8,1,4,0,9,430,0,0 / 0 / 0
1,Week 5,,,TL vs. CLG,Win (1-0),42.03,42.03,1,11,0,5,353,1,1/1/2000
1,Week 5,,,TL vs. GV,Loss (0-0),18.46,18.46,1,3,0,5,496,0,0 / 0 / 0
1,Week 6,,,TL vs. C9,Win (1-0),39.33,39.33,1,6,0,13,383,1,1 / 0 / 0
1,Week 6,,,TL vs. DIG,Win (1-0),18.34,18.34,1,4,0,5,284,0,0 / 0 / 0
1,Week 7,,,TL vs. TDK,Win (1-0),31.75,31.75,1,7,0,9,425,0,0 / 0 / 0
1,Week 7,,,TL vs. TSM,Win (1-0),28.8,28.8,1,8,0,6,380,0,0 / 0 / 0
1,Week 8,,,TL vs. CLG,Loss (0-0),11.17,11.17,1,1,0,4,317,0,0 / 0 / 0
1,Week 8,,,TL vs. NME,Win (1-0),22.22,22.22,1,4,0,8,222,0,0 / 0 / 0
1,Week 9,,,TL vs. T8,Win (1-0),17.51,17.51,1,2,0,6,451,0,0 / 0 / 0
1,Week 9,,,TL vs. TIP,Win (1-0),40.2,40.2,1,8,0,12,420,1,0 / 0 / 0
1,Febiven,Boomdude111,Mid,Fnatic,,438.56,24.36,18,90,0,120,"5,956",5,2/1/2000
1,Week 1,,,FNC vs. UOL,Win (1-0),20.18,20.18,1,4,0,6,318,0,0 / 0 / 0
1,Week 1,,,FNC vs. SK,Win (1-0),38.54,38.54,1,11,0,6,354,1,1 / 0 / 0
1,Week 2,,,FNC vs. ROC,Win (1-0),24.62,24.62,1,2,0,10,362,1,0 / 0 / 0
1,Week 2,,,FNC vs. GMB,Win (1-0),20,20,1,5,0,4,400,0,0 / 0 / 0
1,Week 3,,,FNC vs. EL,Win (1-0),22.92,22.92,1,3,0,9,342,0,0 / 0 / 0
1,Week 3,,,FNC vs. GIA,Win (1-0),25.34,25.34,1,3,0,10,234,1,0 / 0 / 0
1,Week 4,,,FNC vs. OG,Win (1-0),25.42,25.42,1,4,0,9,392,0,0 / 0 / 0
1,Week 4,,,FNC vs. CW,Win (1-0),27.8,27.8,1,8,0,6,280,0,0 / 0 / 0
1,Week 5,,,FNC vs. H2K,Win (1-0),21.73,21.73,1,6,0,3,323,0,1 / 0 / 0
1,Week 5,,,FNC vs. GMB,Win (1-0),30.03,30.03,1,9,0,6,303,0,0 / 0 / 0
1,Week 6,,,FNC vs. GIA,Win (1-0),25.02,25.02,1,1,0,11,452,1,0 / 0 / 0
1,Week 6,,,FNC vs. CW,Win (1-0),25.32,25.32,1,5,0,8,332,0,0 / 0 / 0
1,Week 7,,,FNC vs. H2K,Win (1-0),20.68,20.68,1,5,0,5,318,0,0 / 0 / 0
1,Week 7,,,FNC vs. OG,Win (1-0),41.85,41.85,1,11,0,6,385,1,0 / 1 / 0
1,Week 8,,,FNC vs. ROC,Win (1-0),14.84,14.84,1,2,0,5,334,0,0 / 0 / 0
1,Week 8,,,FNC vs. EL,Win (1-0),12.33,12.33,1,3,0,2,333,0,0 / 0 / 0
1,Week 9,,,FNC vs. SK,Win (1-0),32.36,32.36,1,8,0,9,286,0,0 / 0 / 0
1,Week 9,,,FNC vs. UOL,Win (1-0),9.58,9.58,1,0,0,5,208,0,0 / 0 / 0
1,Huni,UT Reformed Me,Top,Fnatic,,433.2,24.07,18,88,0,131,"5,070",5,0 / 0 / 0
1,Week 1,,,FNC vs. UOL,Win (1-0),19.85,19.85,1,2,0,9,235,0,0 / 0 / 0
1,Week 1,,,FNC vs. SK,Win (1-0),15.29,15.29,1,2,0,6,229,0,0 / 0 / 0
1,Week 2,,,FNC vs. ROC,Win (1-0),32.37,32.37,1,6,0,10,337,1,0 / 0 / 0
1,Week 2,,,FNC vs. GMB,Win (1-0),13.55,13.55,1,2,0,4,355,0,0 / 0 / 0
1,Week 3,,,FNC vs. EL,Win (1-0),33.18,33.18,1,9,0,8,318,0,0 / 0 / 0
1,Week 3,,,FNC vs. GIA,Win (1-0),26.52,26.52,1,7,0,7,202,0,0 / 0 / 0
1,Week 4,,,FNC vs. OG,Win (1-0),19.79,19.79,1,5,0,4,379,0,0 / 0 / 0
1,Week 4,,,FNC vs. CW,Win (1-0),25.71,25.71,1,3,0,10,271,1,0 / 0 / 0
1,Week 5,,,FNC vs. H2K,Win (1-0),23.56,23.56,1,6,0,6,256,0,0 / 0 / 0
1,Week 5,,,FNC vs. GMB,Win (1-0),21.89,21.89,1,7,0,3,339,0,0 / 0 / 0
1,Week 6,,,FNC vs. GIA,Win (1-0),33.25,33.25,1,4,0,13,375,1,0 / 0 / 0
1,Week 6,,,FNC vs. CW,Win (1-0),20.88,20.88,1,4,0,7,238,0,0 / 0 / 0
1,Week 7,,,FNC vs. H2K,Win (1-0),25.97,25.97,1,5,0,9,247,0,0 / 0 / 0
1,Week 7,,,FNC vs. OG,Win (1-0),28.89,28.89,1,0,0,16,289,1,0 / 0 / 0
1,Week 8,,,FNC vs. ROC,Win (1-0),15.59,15.59,1,3,0,4,359,0,0 / 0 / 0
